DOID:4194	glucose metabolism disease	 	D044882	C53655	2645
DOID:2862	glucosephosphate dehydrogenase deficiency	 	D005955	 	3458, 3569, 3586
DOID:9268	glycine encephalopathy	 	D020158	C84937	2731
DOID:2747	glycogen storage disease	271	D006008	C61272	178, 20310, 3576, 57818, 7450
DOID:2752	glycogen storage disease II	 	D006009	C84734	6517
DOID:2748	glycogen storage disease III	 	D006010	C84736	178
DOID:2750	glycogen storage disease IV	 	D006011	C84737	2632, 3760, 3763, 3768
DOID:2746	glycogen storage disease V	 	D006012	C84738	5837
DOID:11721	glycogen storage disease VII	 	D006014	 	272
DOID:12176	goiter	240.9	D006042	C26785	1493, 2260, 3107, 3479, 389434, 896
DOID:14447	gonadal dysgenesis	758.6	D006059	C61420	2254, 6462
DOID:3301	gonadoblastoma	 	D018238	C3754	7258
DOID:7551	gonorrhea	98	D006069	C35730	10018, 572, 634
DOID:9812	Goodpasture syndrome	446.21	D019867	 	10087
DOID:13189	gout	274	D015210	 	1490, 17188, 2191, 22339, 3251, 3553, 3565, 4150, 4314, 5321, 56606, 5743, 650, 654, 7097
DOID:14144	gout	274	D015210	 	3606, 4318
DOID:2411	granular cell tumor	 	D016586	C3474	3623, 4288, 6696, 7345
DOID:2999	granulosa cell tumor	 	D006106	C3070	2099, 2100, 2626, 268
DOID:12361	Graves' disease	 	D006111	C3071	10663, 1234, 1493, 154, 1594, 1906, 26191, 2638, 29126, 3105, 3106, 3107, 3117, 3119, 3383, 3479, 3480, 3553, 3559, 355, 3566, 3569, 356, 3570, 3586, 3596, 3603, 3604, 3627, 3659, 4283, 5788, 578, 581, 596, 6352, 6401, 64135, 6480, 6482, 6528, 7173, 7253, 7293, 909, 911, 9370, 941, 943, 944
DOID:9251	Greig cephalopolysyndactyly syndrome	 	 	 	2737
DOID:12017	group B streptococcal pneumonia	482.32	 	 	1525, 2073, 2074, 2187
DOID:6255	growth hormone secreting pituitary adenoma	 	D049912	C7461	3569
DOID:12698	gynecomastia	 	D006177	C3073	1588, 367, 3973
DOID:11946	habitual abortion	 	D000026	 	185, 2147, 2153, 3557, 3586, 3802, 4524, 7298
DOID:285	hairy cell leukemia	202.4	D007943	C7402	3687, 399, 595, 8871
DOID:2735	Hajdu-Cheney syndrome	 	D031845	C84745	4313
DOID:4534	Hallermann-Streiff syndrome	 	D006210	C84746	2697
DOID:3981	Hallervorden-Spatz syndrome	 	D006211	C8967	80025
DOID:3462	hamartoma	 	D006222	C3075	2069, 20869, 2737, 4771
DOID:3472	hamartoma of lung	 	 	C3497	4026, 5890
DOID:2880	Hantavirus infectious disease	 	D018778	C3899	7124
DOID:10273	heart conduction disease	426.6	 	 	4000
DOID:114	heart disease	429.9	D006331	C3079	217, 3383, 3557, 3569, 6331
DOID:1681	heart septal defect	 	D006343	C84482	2626, 70
DOID:4079	heart valve disease	 	D006349	C45525	11061, 16840, 58191
DOID:4036	Helicobacter pylori gastritis	 	 	C27121	4292, 4436, 4582, 6590
DOID:3686	Helicobacter pylori infectious disease	 	D016481	 	29126, 3458, 3459, 3553, 3576, 3586, 3606, 3952, 4090, 4092, 4313, 4318, 4353, 4440, 5111, 57379, 6364, 7099, 836, 9173
DOID:13133	HELLP syndrome	 	D017359	C84750	133, 356, 4153, 4179, 64127, 7099
DOID:5241	hemangioblastoma	 	D018325	C3801	1191, 358, 4311, 7428
DOID:255	hemangioma	228	D006391	C3085	199, 3481, 3791, 3845, 8829
DOID:801	hemarthrosis	719.1	D006395	 	4313, 4318
DOID:1034	hematologic cancer	 	D019337	C27134	10642, 10643, 10644, 1435, 25925, 4276, 4277, 4297, 7490
DOID:2531	hematologic cancer	 	D019337	C27134	1029, 1043, 1050, 257144, 3558, 5078, 55872, 675, 7088, 728695, 861, 862
DOID:74	hematopoietic system disease	289.9	D006402	 	1435, 3717
DOID:2352	hemochromatosis	 	D006432	C84481	14459, 3105, 3106, 48, 567, 57817
DOID:2860	hemoglobinopathy	 	D006453	C3092	64162, 6521
DOID:583	hemolytic anemia	 	D000743	C34376	5313, 6513, 6521, 9563
DOID:12554	hemolytic-uremic syndrome	283.11	D006463	C75545	1026, 10911, 11093, 14181, 16168, 1993, 1996, 2152, 3190, 3559, 3566, 3574, 3600, 4173, 4179, 4763, 629, 6376, 9982
DOID:6453	hemophagocytic lymphohistiocytosis	288.4	D051359	C35439	10578, 201294, 3552, 3603, 5873
DOID:2230	hemophilia	 	 	C3093	1234, 2153, 2157, 2158, 4609, 7450
DOID:12259	hemophilia B	286.1	D002836	C26721	2158, 2160
DOID:2213	hemorrhagic disease	287.9	D006474	 	2153, 302
DOID:11266	hemorrhagic fever with renal syndrome	78.6	D006480	C84753	3384
DOID:2224	hemorrhagic thrombocythemia	238.71	D013920	C3407	1499, 2153, 25, 3717, 3939, 3948, 4352, 57126, 598, 613, 7297
DOID:11123	Henoch-Schoenlein purpura	287	D011695	C34963	133, 183, 26191, 3105, 3106, 3553, 3569, 4318, 721, 847
DOID:13413	hepatic encephalopathy	572.2	D006501	C79596	2744, 5428, 6285
DOID:11512	hepatic vein thrombosis	 	D006502	 	2153, 3717, 4524, 5054
DOID:12352	hepatitis	570	 	 	16476, 18126, 3725, 5133
DOID:1706	hepatitis	570	 	 	9820
DOID:1707	hepatitis	570	 	 	3553, 3554, 3998, 60489
DOID:2237	hepatitis	570	 	 	10875, 1231, 1234, 14190, 213, 2678, 2944, 2950, 2952, 301, 3553, 3569, 3577, 3586, 3683, 3998, 4055, 4282, 58191, 5925, 6347, 6352, 7124
DOID:2042	hepatitis B	 	D006509	C3097	1116, 183, 285, 29126, 335, 3553, 3554, 3569, 356, 3606, 3627, 3998, 4261, 4282, 4313, 4318, 6347, 7076, 7077, 7097, 7099, 7124, 929, 944566
DOID:2043	hepatitis B	 	D006509	C3097	1230, 1234, 3105, 3440, 3458, 3569, 3606, 3627, 4282, 7124
DOID:2049	hepatitis C	70.7	D006526	C3098	1230, 1231, 1234, 1493, 1524, 2022, 2204, 2247, 254958, 29126, 3350, 3458, 3479, 3552, 3553, 3558, 355, 3569, 356, 3576, 3586, 3606, 3620, 3627, 3659, 3821, 3824, 3856, 3875, 3913, 4193, 4288, 4524, 4599, 5950, 6347, 6352, 6366, 6373, 6696, 7097, 7098, 7099, 79602, 929, 9370, 943
DOID:687	hepatoblastoma	 	D018197	C3728	1027, 1050, 1051, 10553, 11186, 1499, 174, 2033, 25, 2719, 28514, 3481, 356, 4193, 4353, 5324, 595
DOID:684	hepatocellular carcinoma	 	D006528	 	10103, 10120, 10224, 10253, 1026, 1027, 1029, 10395, 10459, 104910, 1051, 10553, 10587, 10653, 10783, 10855, 10894, 10899, 10912, 10935, 10987, 11009, 11065, 1111, 1112, 11156, 11186, 116590, 1230, 1234, 123, 125, 126, 1401, 140, 142, 1432, 1434, 1465, 1485, 1490, 1499, 1524, 1540, 1544, 1636, 1645, 1656, 17295, 174, 182, 1843, 1848, 1915, 1917, 1947, 1950, 1956, 1997, 200734, 2021, 2022, 203068, 2034, 2052, 2064, 208, 2099, 210, 213, 2146, 2147, 2149, 217, 21803, 2181, 2182, 2247, 2272, 22809, 2288, 2591, 259266, 2678, 267, 2688, 2697, 2705, 2706, 27113, 2719, 27232, 27343, 2735, 27430, 2752, 28234, 283518, 283600, 284, 285, 290, 2944, 2947, 2950, 2952, 299316, 29948, 3091, 3099, 3105, 3106, 3117, 3119, 328, 3303, 3308, 3309, 3315, 331, 3329, 332, 333932, 335, 3383, 3455, 3458, 345, 3479, 3480, 3481, 3482, 3484, 3486, 348, 3491, 3516, 3551, 3553, 3559, 355, 3565, 3569, 356, 3570, 3576, 3586, 3604, 3606, 3621, 3622, 3624, 3675, 367, 3685, 3688, 3692, 3725, 375056, 3791, 3811, 3855, 3858, 3875, 387, 3880, 389, 3911, 3918, 3952, 3956, 4018, 4059, 406906, 406991, 407008, 4072, 4087, 4090, 4100, 4102, 4144, 4153, 4171, 4192, 4193, 4205, 4208, 4233, 4255, 4276, 4288, 4292, 4312, 4313, 4314, 4316, 4318, 4323, 4325, 434, 4436, 444, 4507, 4524, 4547, 4582, 4595, 4609, 4616, 463, 48, 5009, 5037, 5054, 5071, 5111, 5295, 5300, 5328, 5329, 5371, 540, 5414, 57019, 57379, 57447, 5747, 5794, 581, 5829, 5887, 5925, 5934, 595, 596, 5971, 598, 599, 6016, 6091, 6093, 6173, 6198, 6317, 6318, 6344, 6347, 6348, 6364, 6382, 6387, 6401, 6414, 6422, 64399, 6462, 6464, 64754, 6477, 648, 6495, 650, 6513, 652, 654, 6558, 655, 6615, 6623, 6647, 664, 6696, 682, 7076, 7077, 7184, 7203, 7247, 728655, 7291, 7298, 7422, 7423, 7430, 7465, 7471, 7474, 7517, 780, 80705, 81649, 836, 841, 842, 857, 864, 8795, 8797, 8838, 8840, 8842, 8881, 890, 8932, 898, 9002, 900, 9032, 9071, 9076, 9112, 9166, 941, 944566, 951475, 9536, 9577, 9587, 9768, 9787, 9788, 9839, 9863, 9940, 9970
DOID:900	hepatopulmonary syndrome	 	D020065	 	5054, 5327, 6347
DOID:11823	hepatorenal syndrome	572.4	D006530	 	1906
DOID:14735	hereditary angioedema	 	D054179	C84758	2161, 624, 710
DOID:9869	hereditary fructose intolerance syndrome	271.2	D005633	C84720	229
DOID:1270	hereditary hemorrhagic telangiectasia	448	D013683	C35064	2022, 2157, 4089, 659, 94
DOID:208	hereditary neoplastic syndrome	 	D009386	C3266	7428
DOID:8498	hereditary night blindness	368.61	C537743	 	6011, 6295
DOID:2476	hereditary spastic paraplegia	334.1	D015419	 	3329, 3336, 3798, 6683, 6687, 80208
DOID:12971	hereditary spherocytosis	282	D013103	 	2038, 286, 6521
DOID:3753	Hermansky-Pudlak syndrome	 	D022861	C37261	10257, 3257, 388552, 65082, 77573
DOID:9976	heroin dependence	 	D006556	C34694	3308, 3356, 4158, 6532, 8863, 9951, 9956
DOID:10883	herpangina	74	D006557	 	1029, 11214, 12505, 134, 1462, 19013, 2247, 27032, 2950, 3265, 3320, 3359, 3375, 351, 3576, 3600, 3683, 3698, 4088, 4193, 43916, 5906, 596, 6279, 6531, 6532, 6696, 79923, 9138, 9177
DOID:14482	herpes gestationis	 	D006559	C85003	6356
DOID:8566	herpes simplex	54	D006561	 	3312, 3337, 3456, 6667, 941, 942, 9451
DOID:8536	herpes zoster	53	D006562	C71079	1234, 2099, 284359, 3105, 348, 3586, 421, 5047
DOID:2939	Herpesviridae infectious disease	 	D006566	 	351, 5894
DOID:3405	histiocytosis	 	D015614	C3106	57556
DOID:1306	HIV encephalopathy	 	D015526	C3715	3576, 5111, 6011, 6376, 9332
DOID:1313	HIV wasting syndrome	 	D019247	 	3952
DOID:810	HIV-associated lipodystrophy syndrome	 	D039682	 	3553, 3569, 3576, 7124, 9370
DOID:8567	Hodgkin's lymphoma	201.9	D006689	C9357	10111, 1027, 1029, 1031, 10395, 104, 10673, 1111, 11186, 1437, 1540, 1965, 1977, 2030, 2064, 207, 2247, 238, 246, 29126, 2944, 2950, 3105, 3110, 3119, 3219, 332, 3383, 350, 3535, 354, 3553, 3557, 355, 3565, 3576, 3586, 3590, 3596, 3717, 3725, 3726, 3783750, 3783751, 3902, 3956, 4065, 4193, 4255, 4313, 4318, 4361, 4683, 472, 5133, 5294, 5295, 56616, 5743, 581, 5966, 596, 602, 613, 6401, 6402, 648, 6688, 682, 7076, 7077, 7424, 79444, 80380, 836, 8837, 931, 943, 9936
DOID:8543	Hodgkin's lymphoma, lymphocytic-histiocytic predominance	201.4	D006689	C6913	5133
DOID:8838	Hodgkin's lymphoma, nodular sclerosis	201.5	 	C3518	7076
DOID:9263	homocystinuria	 	D006712	C84765	2200, 4552, 875
DOID:2791	hookworm infectious disease	 	D006725	C34702	1118
DOID:9909	hordeolum	 	D006726	 	1195, 6426
DOID:526	Human immunodeficiency virus infectious disease	042-042.99	D015658	C3108	10013, 10332, 10346, 1051, 10563, 10578, 10657, 10666, 11018, 11262, 1231, 1234, 1432, 1495, 155348, 155459, 1555, 155807, 155871, 155971, 156110, 1667, 1869, 19374, 200316, 2010, 2030, 2149, 2688, 2720, 29126, 3105, 3106, 3107, 3177, 3309, 3315, 332, 3383, 3439, 3458, 3558, 3559, 355, 3560, 3561, 3565, 356, 3574, 3575, 3586, 3593, 3594, 3600, 3603, 3606, 3659, 3689, 3702, 3813, 3821, 3952, 3953, 4121, 4153, 4352, 4360, 4691, 4747, 5133, 5329, 5339, 56729, 567, 5764, 5788, 5867, 596, 60468, 60489, 6347, 6348, 6349, 6351, 6352, 6363, 6366, 6376, 6387, 6402, 64078, 643, 6441, 6598, 6614, 6648, 6696, 7124, 7293, 7433, 8809, 8943, 904, 9153, 9154, 920, 926, 929, 9370, 939, 940, 941, 947, 9531, 9560
DOID:323	Human T-lymphotropic virus 1 infectious disease	 	D015490	 	1491938, 355, 3569, 3570, 3586, 4318, 6352, 7295, 8837, 917
DOID:12858	Huntington's disease	333.4	D006816	C82342	10915, 135, 207, 2166, 21816, 24225, 246744, 2597, 2668, 28964, 301526, 3300, 3952, 4129, 4313, 4487, 4524, 56812, 57338, 60335, 627, 6446, 7077, 84505, 850633, 9001, 9322, 9869
DOID:9912	hydrocele	 	 	 	487, 490
DOID:10908	hydrocephalus	 	D006849	C3111	117, 2683, 355, 356, 3897, 4137, 4774, 836
DOID:11212	hydrophthalmos	743.2	D006871	C50648	1545, 2296, 4653, 7299
DOID:1097	hydrops fetalis	 	D015160	C84767	4556
DOID:446	hyperaldosteronism	255.1	D006929	 	185, 2768, 4221, 5395, 57786
DOID:11613	hyperandrogenism	 	D017588	 	10135, 10580, 1589, 2688, 3283, 3479, 3569, 3630, 3640, 3643, 367, 4160, 5054, 6462
DOID:2487	hypercholesterolemia	 	D006937	 	10842, 110446, 11816, 1191, 1401, 1535, 185, 19, 2155, 237636, 255738, 26119, 29881, 338, 348, 3569, 356, 3576, 3630, 3949, 3953, 3990, 4353, 4565, 477, 5346, 55911, 6347, 6401, 6403, 64240, 64241, 7099, 7450
DOID:9357	hyperemesis gravidarum	643	D006939	C87084	7124
DOID:4195	hyperglycemia	 	D006943	C26797	100126861, 100156321, 10135, 11132, 1535, 183, 18609, 19211, 20393, 207, 208, 2641, 2645, 2650, 2695, 2731, 2739, 3091, 3339, 345, 3479, 3552, 3565, 3569, 3576, 3630, 3643, 3767, 397491, 4023, 4524, 5054, 5296, 5972, 6093, 6352, 6446, 6464, 653361, 6608, 6647, 6649, 7225, 80309, 9588
DOID:9279	hyperhomocysteinemia	 	D020138	C84770	1636, 2147, 2153, 24770, 348, 4524, 4548, 4552, 467, 6347, 635, 7172, 875
DOID:9996	hyperinsulinemic hypoglycemia	 	D046768	C4375	1644, 2645, 2746, 3767
DOID:2018	hyperinsulinism	 	D006946	 	10135, 133, 1401, 16367, 1906, 246775, 25467, 25522, 2645, 2695, 2746, 3172, 3383, 338, 3630, 3667, 3767, 3952, 3991, 4023, 4160, 5054, 56718, 57104, 5972, 6198, 6347, 6401, 6446, 6517, 6566, 9370
DOID:3145	hyperlipoproteinemia type III	 	D006952	C34710	1401, 4023, 5329
DOID:1172	hyperlipoproteinemia type IV	272.1	D006953	C34711	337, 6555
DOID:9834	hyperopia	367	D006956	 	2741, 4153, 60489, 919, 9241
DOID:205	hyperostosis	 	D015576	C34712	249
DOID:13543	hyperparathyroidism	252	D006961	C48259	3570, 4221, 595, 7490, 79577, 846, 9247
DOID:417	hypersensitivity reaction type II disease	720	D001327	 	10279, 10673, 1493, 1594, 1621, 21926, 2213, 2215, 26191, 29126, 2952, 29553, 2956, 3111, 3112, 3117, 3184, 326, 3428, 3559, 355, 3565, 3569, 356, 3570, 3576, 3586, 3627, 3663, 3674, 3716, 3738, 3777, 3861, 387082, 4124, 4153, 4261, 4276, 4283, 4318, 4650, 5133, 578, 581, 59067, 596, 598, 6279, 6280, 6349, 634, 6361, 6366, 6367, 64135, 6556, 6699, 7099, 7124, 720, 721, 7297, 7466, 841, 868, 871, 8870, 9235
DOID:1557	hypersensitivity reaction type III disease	 	D007105	 	10673, 2209
DOID:10763	hypertension	997.91	D006973	C3117	1029, 10699, 1080, 10891, 10911, 11132, 1113, 1114, 11188, 116477, 116681, 1187, 1188, 118, 1231, 1234, 136, 1401, 150, 1514, 151, 1535, 153, 154, 1589, 1621, 1636, 183, 185, 186, 1889, 1906, 190, 1910, 19, 2028, 2053, 207, 2099, 2100, 2155, 217, 2185, 2244, 25404, 2642, 2688, 2690, 27035, 2729, 27302, 284, 285, 290, 292762, 2944, 2950, 2952, 29595, 3091, 3240, 3283, 3290, 3291, 3350, 3351, 3356, 3357, 3358, 3359, 335, 3360, 3362, 3363, 3375, 340024, 345, 348, 3553, 3557, 3569, 3570, 359, 3630, 3636, 3816, 3818, 383, 3934, 3952, 3990, 401, 4023, 4041, 4049, 4069, 408, 409, 4153, 4306, 4313, 4318, 4524, 4535, 4536, 4565, 476, 488, 500245, 5054, 506, 5144, 522, 56670, 56729, 5770, 59272, 5972, 5997, 6013, 6019, 6098, 624, 6296, 6338, 6340, 6401, 6403, 6446, 65030, 65125, 65266, 652, 6530, 6532, 654817, 6559, 6649, 706, 7076, 7166, 7276, 7298, 7350, 7351, 7450, 7498, 7503, 79129, 79608, 796, 857, 8876, 9177, 9370, 943, 944, 9475, 9530
DOID:11516	hypertensive heart disease	402.9	 	 	183, 185, 308, 5972
DOID:11561	hypertensive retinopathy	362.11	D058437	C3514	9370
DOID:7998	hyperthyroidism	 	D006980	C3123	1493, 3458, 3479, 3484, 5054, 56729, 6515, 6517, 7253
DOID:1920	hyperuricemia	 	D033461	C3961	155, 3251, 335, 4524, 55867, 9370
DOID:1390	hypobetalipoproteinemia	 	D006995	 	338, 3949
DOID:9993	hypoglycemia	251.2	D007003	C3126	1636, 3172, 348, 3553, 3569, 3630, 3767, 4306, 6513, 6515, 6517, 6566, 9370
DOID:1924	hypogonadism	 	D007006	C9227	2567, 268, 7258, 9397
DOID:14793	hypohidrotic ectodermal dysplasia	 	D053360	C84562	10913, 1536, 1896, 653361, 7189
DOID:14452	hypokalemic periodic paralysis	 	D020514	C84775	6329, 773, 779
DOID:1387	hypolipoproteinemia	272.5	D007009	 	4023
DOID:11199	hypoparathyroidism	252.1	D007011	C78350	2625, 846, 9247
DOID:8533	hypopharynx cancer	148.9	D007012	C7190	1026, 3963
DOID:14213	hypophosphatasia	 	D007014	C26798	249, 445341
DOID:14763	hypophosphatasia	 	D007014	C26798	249
DOID:9406	hypopituitarism	 	D007018	C62591	2736, 6658, 83993, 8820, 9095
DOID:9955	hypoplastic left heart syndrome	746.7	D018636	 	1482, 1906, 6285
DOID:11630	hypothyroidism	244.9	D007037	C26800	1401, 210, 3479, 3484, 3486, 3565, 3627, 3630, 389434, 3952, 4043, 56729, 5795, 6347, 6528, 7173
DOID:4535	hypotrichosis	 	D007039	C34720	10161, 1041, 200879
DOID:1697	ichthyosis	 	D007057	C84776	26276, 2706, 3849, 57104, 9333, 9342
DOID:1827	idiopathic generalized epilepsy	 	D004829	C3021	1181, 3778, 6323, 6324, 8912
DOID:11604	idiopathic hydrops fetalis	778	D015160	 	4556
DOID:2797	idiopathic interstitial pneumonia	516.3	D011658	 	1029, 10988, 1215, 177, 183, 185, 2252, 2294, 255520, 301, 3458, 3486, 3488, 3552, 3565, 3569, 3572, 3589, 3593, 3596, 3606, 387, 4312, 4316, 4582, 5328, 56307, 57016, 595, 627, 6347, 6362, 6366, 64127, 64370, 6440, 6469, 6649, 7078, 780, 79187
DOID:12559	idiopathic juvenile osteoporosis	733.02	 	 	4041
DOID:2986	IgA glomerulonephritis	 	D005922	C35280	10673, 1234, 133, 1490, 1535, 1636, 183, 185, 186, 1906, 1950, 2215, 3105, 3439, 3458, 3508, 3565, 3568, 3569, 3586, 387, 3934, 4210, 4282, 4318, 5800, 5806, 6296, 6347, 6375, 6401, 6402, 941, 942
DOID:11606	ileal disease	 	D007077	 	64127
DOID:8440	ileus	 	D045823	C37979	796
DOID:8719	in situ carcinoma	234.9	D002278	C2917	1026, 1956, 2272, 2697, 332, 4313, 5111, 5347, 595, 6275, 6278, 6280, 672, 7082, 79923, 9414
DOID:3401	inappropriate ADH syndrome	 	D007177	C3988	3569
DOID:3429	inclusion body myositis	359.71	D018979	C84786	11820, 2010, 351, 4000, 7314
DOID:4660	indolent systemic mastocytosis	 	D034721	C9286	3815
DOID:2481	infantile epileptic encephalopathy	345.6	D013036	C84788	10015, 3767, 4160, 4693, 6323, 7248, 7249
DOID:3412	infectious canine hepatitis	 	D006522	 	348, 351, 3725
DOID:8568	infectious mononucleosis	75	D007244	C34726	4068, 5896, 5897, 940
DOID:5223	infertility	 	D007246	C3836	1080, 1081, 11036, 133, 1589, 1617, 1618, 196, 2099, 2153, 2592, 268, 2944, 3269, 3274, 3306, 332, 3426, 3480, 3552, 3553, 355, 3569, 3570, 3589, 3624, 367, 3952, 3972, 3976, 3991, 4000, 405, 4276, 4282, 4524, 4538, 5047, 56648, 57055, 57491, 6347, 6352, 6376, 6446, 66037, 7124, 7180, 718, 7216, 727, 735, 928
DOID:6263	inflammatory breast carcinoma	 	D058922	C4001	389, 857, 858
DOID:8469	influenza	487	D007251	C53482	10859, 10898, 1398, 1399, 17857, 325, 3383, 3439, 3458, 3495, 3586, 3802, 4153, 4599, 5054, 6347, 6348, 6352, 6356, 64187, 7097, 7098, 7099, 7292, 79571, 9648, 9970
DOID:10510	influenza virus pneumonia	487	 	 	7295
DOID:7316	inherited neuropathy	 	 	C27187	2052, 4535, 4541, 5376, 9381
DOID:3903	insulinoma	 	D007340	C3140	18609, 20747, 3375, 3651, 3952, 4221, 5802
DOID:1059	intellectual disability	319	D008607	C84392	10445, 10642, 11141, 11279, 1218, 1641, 17257, 186, 1915, 22589, 22829, 266743, 2731, 3198, 359, 3908, 3913, 4128, 4204, 4524, 4763, 477, 546, 57545, 5864, 5879, 6197, 6405, 64220, 64324, 6493, 6535, 6658, 6683, 7080, 7102, 773, 79147, 80208, 861, 8851, 9126, 9980
DOID:8805	intermediate coronary syndrome	411.1	D000789	C66911	1401, 183, 3606, 3690, 3952, 5806, 7099, 7124, 929
DOID:12732	intermediate uveitis	 	D015867	C35110	1493
DOID:13949	interstitial cystitis	 	D018856	C27189	1839, 1950, 2255, 3569
DOID:3082	interstitial lung disease	 	D017563	 	20389, 3682, 627, 64127, 6440
DOID:10486	intestinal atresia	 	D007409	C84790	5325
DOID:10155	intestinal cancer	159	D007414	C4572	10861, 1636, 2583
DOID:5295	intestinal disease	569.9	D007410	C26801	3383, 3600, 4072, 623, 64127, 7442
DOID:8591	intestinal disease	569.9	D007410	C26801	1839, 1906
DOID:4610	intestinal neoplasm	 	D007414	C3141	17173, 430, 60432, 9340, 93896
DOID:3878	intestinal pseudo-obstruction	 	D007418	C34733	6331
DOID:3468	intestinal schistosomiasis	120.2	D012554	C35001	1432, 3383, 3458, 3459, 3567, 3586, 3596, 6348
DOID:4904	intestinal type carcinoma	 	 	C4126	1045, 2064, 3855, 4089, 5970, 9075
DOID:10941	intracranial aneurysm	 	D002532	C34458	1462, 2006, 2022, 2201, 2246, 3569, 4015, 7076, 7077, 7078, 836
DOID:9428	intracranial hypertension	 	D019586	C84791	2261, 841
DOID:3572	intracranial sinus thrombosis	 	D012851	 	2147, 2153, 4574
DOID:12751	intracranial thrombosis	434	D020767	 	2153
DOID:2547	intractable epilepsy	 	 	C9487	22822, 2737, 2944, 358, 6323, 6326, 6347, 79663
DOID:2424	intradermal nevus	 	D018330	C3804	673
DOID:5616	intraepithelial neoplasm	 	D002278	C8366	1026, 1029, 1848, 332, 4507, 4586, 4588, 5347, 581, 596, 6286, 7428
DOID:1852	intrahepatic cholestasis	 	D002780	C84400	6462, 9971
DOID:775	intraocular lymphoma	 	 	C9184	596
DOID:6039	intraocular melanoma	 	C536494	C7712	10016, 1029, 11178, 11186, 11315, 1499, 1910, 2146, 3091, 3320, 3383, 3458, 378708, 3815, 4162, 4254, 4288, 4313, 4763, 5058, 5111, 558, 595, 6285, 673, 7078, 7161, 7474
DOID:9360	intrinsic asthma	493.1	 	 	2729
DOID:3005	invasive ductal carcinoma	 	D018270	C4194	1956, 2064, 6615, 9971
DOID:3457	invasive lobular carcinoma	 	D018275	C3771	11200, 11337, 246, 3852, 4582, 4583, 4586, 5329, 947
DOID:6945	inverted follicular keratosis	 	 	C9007	596
DOID:3179	inverted papilloma	 	D018308	C3793	4488
DOID:11758	iron deficiency anemia	280.8	D018798	 	48
DOID:2350	iron overload	 	D019190	C78393	7321
DOID:9778	irritable bowel syndrome	564.1	D043183	C82343	3356, 3357, 3359, 4049, 6532
DOID:2772	irritant dermatitis	 	D017453	C27151	3552, 3553
DOID:326	ischemia	 	D007511	C34738	10131, 11419, 11535, 11545, 133, 134, 1401, 140, 142, 1432, 1440, 186, 1906, 19877, 20496, 2056, 2081, 213, 222962, 22854, 231, 243328, 270, 284, 308, 3091, 3308, 331, 3336, 348, 3557, 355, 356, 3576, 3776, 3778, 3976, 4099, 4137, 41, 4240, 4318, 4323, 4353, 5327, 5743, 576, 596, 598, 6093, 6285, 6331, 6403, 6546, 6548, 660, 6622, 6647, 7224, 7428, 7515, 8996, 9131, 9370
DOID:3394	ischemic heart disease	414.9	D017202	C50625	177, 1909, 1910, 19, 2099, 2153, 338, 3479, 3484, 348, 3815, 3990, 4023, 4205, 4314, 522, 6310, 6649, 7273, 80149, 9370
DOID:14753	isovaleric acidemia	 	C538167	 	3712
DOID:2842	Jervell-Lange Nielsen syndrome	 	D029593	C84793	3753, 3784
DOID:3261	Job's syndrome	 	D007589	C3144	3605
DOID:3209	junctional epidermolysis bullosa	 	D016109	 	16776, 3691, 3909, 3911, 3914, 3918
DOID:1068	juvenile glaucoma	 	 	 	4653
DOID:4890	juvenile myoclonic epilepsy	 	D020190	C84796	1139, 3786, 57369, 6046, 6323, 80258
DOID:676	juvenile rheumatoid arthritis	714.31	 	 	3115
DOID:12376	juvenile spinal muscular atrophy	335.11	D014897	 	6607
DOID:3614	Kallmann syndrome	 	D017436	C75479	2260, 26012, 3730, 445815, 50501, 60675
DOID:8632	Kaposi's sarcoma	176.9	D012514	C9087	1050, 142, 1499, 1508, 1909, 1910, 1948, 3106, 3383, 3397, 3459, 3482, 3516, 3565, 3569, 3576, 4035, 4067, 4288, 4313, 4609, 5008, 5076, 5093, 571, 6198, 7098, 8932, 942
DOID:13378	Kawasaki disease	446.1	D009080	C34825	1234, 1401, 1636, 185, 3105, 3106, 3107, 3565, 3586, 3791, 4153, 4314, 4318, 4322, 6283, 6349, 6556, 7076, 7124, 7422, 80271
DOID:12934	Kearns-Sayre syndrome	 	D007625	C84798	6314
DOID:4677	keratitis	370.9	D007634	C26805	2706, 7097
DOID:12895	keratoconjunctivitis sicca	 	D007638	 	103, 3178, 356, 3596, 362, 4318, 6361, 6647
DOID:10126	keratoconus	371.6	D007640	C26806	1178, 2014, 362, 6273, 6590, 6649, 6667
DOID:161	keratosis	 	D007642	C34747	22063, 595, 7220
DOID:2734	keratosis follicularis	 	D007644	C84665	488
DOID:263	kidney cancer	 	D007680	C3150	11186, 1499, 18294, 1871, 1906, 1909, 201163, 22084, 2739, 4313, 5076, 572, 5743, 6596, 7249, 7490, 79960, 857, 9227
DOID:3676	kidney cancer	 	D007680	C3150	10397, 11082, 1545, 201163, 2034, 2272, 240, 27101, 3091, 317, 3932, 4012, 5058, 5076, 56717, 6387, 6390, 6598, 7428, 79577, 79960, 919
